#round_number,type,total
1,Community,10376.300000000001
1,dApp Tech,7273.02
1,NFTs,0
1,Infra Tech,21011.78
1,Grants Round 12,0
1,Building Gitcoin,0
1,dGov,0
1,Health,0
1,Crypto for Black Lives,0
1,APOLLO,0
1,Matic: Build-n-Earn,0
2,Community,12808.69
2,dApp Tech,61122.14
2,NFTs,0
2,Infra Tech,34156.58
2,Grants Round 12,0
2,Building Gitcoin,457.0
2,dGov,0
2,Health,0
2,Crypto for Black Lives,0
2,APOLLO,0
2,Matic: Build-n-Earn,0
3,Community,64400.18000000001
3,dApp Tech,41413.38
3,NFTs,0
3,Infra Tech,89801.67
3,Grants Round 12,0
3,Building Gitcoin,1344.88
3,dGov,0
3,Health,35.0
3,Crypto for Black Lives,0
3,APOLLO,0
3,Matic: Build-n-Earn,0
4,Community,85019.04999999997
4,dApp Tech,63084.17999999999
4,NFTs,0
4,Infra Tech,81154.12999999998
4,Grants Round 12,0
4,Building Gitcoin,10850.25
4,dGov,0
4,Health,16065.48
4,Crypto for Black Lives,0
4,APOLLO,0
4,Matic: Build-n-Earn,0
5,Community,65257.979999999996
5,dApp Tech,59135.79000000002
5,NFTs,6148.32
5,Infra Tech,67078.09999999999
5,Grants Round 12,0
5,Building Gitcoin,3657.81
5,dGov,7567.099999999999
5,Health,125360.24
5,Crypto for Black Lives,0
5,APOLLO,0
5,Matic: Build-n-Earn,0
6,Community,93972.16999999987
6,dApp Tech,51065.419999999984
6,NFTs,3160.85
6,Infra Tech,145780.3399999999
6,Grants Round 12,0
6,Building Gitcoin,9062.66
6,dGov,3247.5099999999998
6,Health,10444.019999999999
6,Crypto for Black Lives,38433.64000000001
6,APOLLO,0
6,Matic: Build-n-Earn,0
7,Community,186409.11000000013
7,dApp Tech,188359.57000000004
7,NFTs,12069.64
7,Infra Tech,257888.43000000002
7,Grants Round 12,0
7,Building Gitcoin,27017.18
7,dGov,23491.820000000003
7,Health,23110.21
7,Crypto for Black Lives,0
7,APOLLO,580.47
7,Matic: Build-n-Earn,175.12
8,Community,1151470.9200000013
8,dApp Tech,499079.0500000006
8,NFTs,25309.02
8,Infra Tech,541671.0700000003
8,Grants Round 12,0
8,Building Gitcoin,142078.48
8,dGov,43849.17
8,Health,27632.98
8,Crypto for Black Lives,0
8,APOLLO,0
8,Matic: Build-n-Earn,0
9,Community,435074.44000000006
9,dApp Tech,398541.6899999998
9,NFTs,195600.50999999995
9,Infra Tech,566704.2699999999
9,Grants Round 12,0
9,Building Gitcoin,0
9,dGov,32584.62
9,Health,8839.21
9,Crypto for Black Lives,0
9,APOLLO,0
9,Matic: Build-n-Earn,0
10,Community,376772.5499999998
10,dApp Tech,486522.66
10,NFTs,136491.9800000001
10,Infra Tech,553252.98
10,Grants Round 12,0
10,Building Gitcoin,59992.920000000006
10,dGov,116456.87999999998
10,Health,4015.47
10,Crypto for Black Lives,0
10,APOLLO,0
10,Matic: Build-n-Earn,0
11,Community,488686.75000000023
11,dApp Tech,718561.6000000011
11,NFTs,328541.9399999999
11,Infra Tech,570597.7700000003
11,Grants Round 12,0
11,Building Gitcoin,94172.84999999999
11,dGov,89464.98
11,Health,0
11,Crypto for Black Lives,0
11,APOLLO,0
11,Matic: Build-n-Earn,0
12,Community,2211752.819999998
12,dApp Tech,1400210.590000001
12,NFTs,361266.3399999999
12,Infra Tech,865030.7699999996
12,Grants Round 12,1061765.0800000008
12,Building Gitcoin,0
12,dGov,129498.96
12,Health,0
12,Crypto for Black Lives,0
12,APOLLO,0
12,Matic: Build-n-Earn,0
