pk,month_index,intervention,time_after_intervention,num_commit,num_issue,num_star,num_comment,earning_after_adoption,count_grant,num_repo
2323,-6,0,0,10,0,22,1,337821.69,4,7
2323,-5,0,0,18,1,52,4,337821.69,4,7
2323,-4,0,0,0,0,13,0,337821.69,4,7
2323,-3,0,0,26,0,4,2,337821.69,4,7
2323,-2,0,0,126,1,72,86,337821.69,4,7
2323,-1,0,0,19,0,7,1,337821.69,4,7
2323,0,0,0,0,0,13,0,337821.69,4,7
2323,1,1,1,0,0,5,0,337821.69,4,7
2323,2,1,2,50,0,10,21,337821.69,4,7
2323,3,1,3,82,3,41,95,337821.69,4,7
2323,4,1,4,72,4,36,138,337821.69,4,7
2323,5,1,5,62,3,40,46,337821.69,4,7
2323,6,1,6,11,0,25,40,337821.69,4,7
149,-6,0,0,62,1,7,34,323383.15,9,1
149,-5,0,0,158,1,19,90,323383.15,9,1
149,-4,0,0,107,1,16,48,323383.15,9,1
149,-3,0,0,100,0,2,44,323383.15,9,1
149,-2,0,0,130,1,2,17,323383.15,9,1
149,-1,0,0,98,1,3,52,323383.15,9,1
149,0,0,0,106,1,20,130,323383.15,9,1
149,1,1,1,247,3,16,143,323383.15,9,1
149,2,1,2,228,4,10,129,323383.15,9,1
149,3,1,3,169,6,39,158,323383.15,9,1
149,4,1,4,192,2,21,234,323383.15,9,1
149,5,1,5,163,3,17,128,323383.15,9,1
149,6,1,6,118,4,9,115,323383.15,9,1
490,-6,0,0,0,0,0,0,303809.72,8,3
490,-5,0,0,0,0,0,0,303809.72,8,3
490,-4,0,0,0,0,0,0,303809.72,8,3
490,-3,0,0,0,0,0,0,303809.72,8,3
490,-2,0,0,0,0,0,0,303809.72,8,3
490,-1,0,0,0,0,0,0,303809.72,8,3
490,0,0,0,12,0,0,1,303809.72,8,3
490,1,1,1,126,3,0,81,303809.72,8,3
490,2,1,2,11,0,0,0,303809.72,8,3
490,3,1,3,66,0,0,1,303809.72,8,3
490,4,1,4,222,0,0,9,303809.72,8,3
490,5,1,5,9,0,0,0,303809.72,8,3
490,6,1,6,4,0,0,0,303809.72,8,3
1592,-6,0,0,113,9,15,170,273472.88,5,1
1592,-5,0,0,65,11,18,138,273472.88,5,1
1592,-4,0,0,201,3,8,96,273472.88,5,1
1592,-3,0,0,329,8,36,282,273472.88,5,1
1592,-2,0,0,578,6,41,446,273472.88,5,1
1592,-1,0,0,463,12,62,305,273472.88,5,1
1592,0,0,0,213,19,46,155,273472.88,5,1
1592,1,1,1,111,12,57,180,273472.88,5,1
1592,2,1,2,108,14,73,184,273472.88,5,1
1592,3,1,3,117,10,73,166,273472.88,5,1
1592,4,1,4,239,9,106,169,273472.88,5,1
1592,5,1,5,94,10,125,133,273472.88,5,1
1592,6,1,6,168,24,165,371,273472.88,5,1
4352,-6,0,0,0,0,0,0,241184.2,1,13
4352,-5,0,0,0,0,0,0,241184.2,1,13
4352,-4,0,0,0,0,0,0,241184.2,1,13
4352,-3,0,0,0,0,0,0,241184.2,1,13
4352,-2,0,0,16,0,0,0,241184.2,1,13
4352,-1,0,0,233,0,0,0,241184.2,1,13
4352,0,0,0,195,0,55,68,241184.2,1,13
4352,1,1,1,125,3,29,31,241184.2,1,13
4352,2,1,2,507,2,34,149,241184.2,1,13
4352,3,1,3,654,2,15,135,241184.2,1,13
4352,4,1,4,553,1,26,132,241184.2,1,13
4352,5,1,5,292,0,22,193,241184.2,1,13
4352,6,1,6,557,17,104,275,241184.2,1,13
24,-6,0,0,80,1,63,285,227561.42,12,1
24,-5,0,0,50,0,60,287,227561.42,12,1
