pk,totoal_funding,github_url,main_page,category,grant_url
1668,1137038.22,,https://www.coincenter.org/,Community,https://gitcoin.co/grants/1668/coin-center-is-educating-policy-makers-about-publ
2323,337821.69,https://github.com/darkforest-eth,https://zkga.me,dApp Tech,https://gitcoin.co/grants/2323/dark-forest
149,323383.15,https://github.com/rotki/rotki,https://rotki.com,dApp Tech,https://gitcoin.co/grants/149/rotki-the-portfolio-tracker-and-accounting-tool-t
490,303809.72,https://github.com/poap-xyz,http://poap.xyz,NFTs,https://gitcoin.co/grants/490/poap-proof-of-attendance-protocol
2805,302569.78,,https://torproject.org,Infra Tech,https://gitcoin.co/grants/2805/the-tor-project
3974,286988.88,,https://www.eff.org,Community,https://gitcoin.co/grants/3974/electronic-frontier-foundation
1592,273472.88,https://github.com/NomicFoundation/hardhat,https://hardhat.org,dApp Tech,https://gitcoin.co/grants/1592/hardhat-by-nomic-labs
4352,241184.2,https://github.com/ZigZagExchange,,Grants Round 12,https://gitcoin.co/grants/4352/zigzag-exchange
24,227561.42,https://github.com/prysmaticlabs/prysm,https://prysmaticlabs.com/,Infra Tech,https://gitcoin.co/grants/24/prysm-by-prysmatic-labs
86,194468.26,https://github.com/gitcoinco,https://gitcoin.co,Building Gitcoin,https://gitcoin.co/grants/86/gitcoin-grants-core-team-dev-fund
25,186691.3,https://github.com/sigp/lighthouse,https://github.com/sigp/lighthouse,Infra Tech,https://gitcoin.co/grants/25/lighthouse-ethereum-20-client
4083,184010.75,,https://twitter.com/longevityprize,Grants Round 12,https://gitcoin.co/grants/4083/longevity-prize-by-vitadao
1632,176775.46,,https://rekt.news,Community,https://gitcoin.co/grants/1632/rektnews-the-dark-web-of-defi-journalism
13,175487.78,https://github.com/ethers-io/ethers.js,https://ethers.org/,Infra Tech,https://gitcoin.co/grants/13/ethersjs-complete-simple-and-tiny
821,170182.45,https://github.com/ScopeLift/umbra-protocol,https://github.com/ScopeLift/umbra-protocol,Infra Tech,https://gitcoin.co/grants/821/umbra-privacy-preserving-stealth-payments
191,164383.45,https://github.com/BrightID,https://www.brightid.org/,dApp Tech,https://gitcoin.co/grants/191/brightid-universal-proof-of-uniqueness-panvala-le
143,164031.52,https://github.com/dappnode,,Infra Tech,https://gitcoin.co/grants/143/dappnode-panvala-league
172,162448.84,https://github.com/zeropoolnetwork,https://github.com/zeropoolnetwork,dApp Tech,https://gitcoin.co/grants/172/zeropool-scaling-anonymous-transactions-for-block
4118,154552.02,,https://theblockchainassociation.org/,Grants Round 12,https://gitcoin.co/grants/4118/the-blockchain-association-ba
3133,152102.95,https://github.com/lifinance,,Infra Tech,https://gitcoin.co/grants/3133/lifinance-cross-chain-bridge-aggregator-smart-rou
1661,151348.33,,,dApp Tech,https://gitcoin.co/grants/1661/etherdrops
1143,138751.38,https://github.com/floating/frame,,dApp Tech,https://gitcoin.co/grants/1143/frame-privacy-focused-native-ethereum-wallet
238,130873.99,,,Community,https://gitcoin.co/grants/238/bankless
137,130083.6,https://github.com/status-im,https://nimbus.team/,Infra Tech,https://gitcoin.co/grants/137/nimbus
40,127487.28,,https://ethhub.io,Community,https://gitcoin.co/grants/40/ethhub-ethereum-information-hub
1093,120032.73,https://github.com/snapshot-labs,,dGov,https://gitcoin.co/grants/1093/snapshot
4119,115001.17,,https://drm.edendao.finance,Grants Round 12,https://gitcoin.co/grants/4119/kick-starting-the-market-for-future-carbon
3857,112437.23,https://github.com/l2beat/l2beat,https://l2beat.com/,Community,https://gitcoin.co/grants/3857/l2beat
2679,111342.86,,,dApp Tech,https://gitcoin.co/grants/2679/rss3-rss-with-human-curation
2594,107255.47,,https://www.fightforthefuture.org/,Community,https://gitcoin.co/grants/2594/fight-for-the-future-is-building-and-channeling-p
12,105946.94,,https://gitcoin.co,Infra Tech,https://gitcoin.co/grants/12/gitcoin-grants-official-matching-pool-fund
1101,103344.27,,https://archivenode.io/,Infra Tech,https://gitcoin.co/grants/1101/archivenodeio-the-public-access-ethereum-archive-
3531,103171.62,,https://dataverse.art,NFTs,https://gitcoin.co/grants/3531/dataverse-curate-nfts-from-around-the-web-with-on
524,102007.32,,https://clr.fund,dApp Tech,https://gitcoin.co/grants/524/clrfund
3509,101529.58,,https://freedom.press/,Community,https://gitcoin.co/grants/3509/freedom-of-the-press-foundation
237,100722.87,,,Health,https://gitcoin.co/grants/237/week-in-ethereum-news
