pk,totoal_funding,github_url,homepage,category,grant_url,first_grant_date,repos
2323,337821.69,https://github.com/darkforest-eth,https://zkga.me,dApp Tech,https://gitcoin.co/grants/2323/dark-forest,2021/03/10 00:00:00,https://github.com/darkforest-eth/darkforest-v0.3; https://github.com/darkforest-eth/client; https://github.com/darkforest-eth/eth; https://github.com/darkforest-eth/plugins; https://github.com/darkforest-eth/developer-guides; https://github.com/darkforest-eth/packages; https://github.com/darkforest-eth/circuits
149,323383.15,https://github.com/rotki/rotki,https://rotki.com,dApp Tech,https://gitcoin.co/grants/149/rotki-the-portfolio-tracker-and-accounting-tool-t,2020/01/06 00:00:00,https://github.com/rotki/rotki
490,303809.72,https://github.com/poap-xyz,http://poap.xyz,NFTs,https://gitcoin.co/grants/490/poap-proof-of-attendance-protocol,2020/03/23 00:00:00,https://github.com/poap-xyz/poap-vote-v2; https://github.com/poap-xyz/poap-fun; https://github.com/poap-xyz/poap-subgraph
1592,273472.88,https://github.com/NomicFoundation/hardhat,https://hardhat.org,dApp Tech,https://gitcoin.co/grants/1592/hardhat-by-nomic-labs,2020/12/01 00:00:00,https://github.com/NomicFoundation/hardhat
4352,241184.2,https://github.com/ZigZagExchange,,Grants Round 12,https://gitcoin.co/grants/4352/zigzag-exchange,2021/12/01 00:00:00,https://github.com/ZigZagExchange/frontend; https://github.com/ZigZagExchange/backend; https://github.com/ZigZagExchange/starknet-contracts; https://github.com/ZigZagExchange/market-maker; https://github.com/ZigZagExchange/landing-site; https://github.com/ZigZagExchange/starknet.js; https://github.com/ZigZagExchange/arweave-bridge; https://github.com/ZigZagExchange/markets; https://github.com/ZigZagExchange/starknet-oracle; https://github.com/ZigZagExchange/zznft; https://github.com/ZigZagExchange/InvisibL3; https://github.com/ZigZagExchange/mammoth_UI; https://github.com/ZigZagExchange/token
24,227561.42,https://github.com/prysmaticlabs/prysm,https://prysmaticlabs.com/,Infra Tech,https://gitcoin.co/grants/24/prysm-by-prysmatic-labs,2019/02/01 00:00:00,https://github.com/prysmaticlabs/prysm
86,194468.26,https://github.com/gitcoinco,https://gitcoin.co,Building Gitcoin,https://gitcoin.co/grants/86/gitcoin-grants-core-team-dev-fund,2019/03/26 00:00:00,https://github.com/gitcoinco/smart_contracts; https://github.com/gitcoinco/web; https://github.com/gitcoinco/whitepaper; https://github.com/gitcoinco/browser-extension; https://github.com/gitcoinco/smart-contract-best-practices; https://github.com/gitcoinco/slack-protector; https://github.com/gitcoinco/gitcoinco; https://github.com/gitcoinco/ios; https://github.com/gitcoinco/coz-slack-ico-management-platform; https://github.com/gitcoinco/android; https://github.com/gitcoinco/skunkworks; https://github.com/gitcoinco/creative; https://github.com/gitcoinco/community; https://github.com/gitcoinco/coldoutreach; https://github.com/gitcoinco/ethdenver; https://github.com/gitcoinco/codefund; https://github.com/gitcoinco/content; https://github.com/gitcoinco/gitcoin-erc721; https://github.com/gitcoinco/ethavatar; https://github.com/gitcoinco/GIPs; https://github.com/gitcoinco/sxsw; https://github.com/gitcoinco/codefund_temp; https://github.com/gitcoinco/environment-ferretwell-staging; https://github.com/gitcoinco/discourse-codefund; https://github.com/gitcoinco/javascript-api-client; https://github.com/gitcoinco/python-api-client; https://github.com/gitcoinco/command_line_standardbounties_funder; https://github.com/gitcoinco/discourse-adplugin; https://github.com/gitcoinco/bd; https://github.com/gitcoinco/codefund-web; https://github.com/gitcoinco/hacksummit; https://github.com/gitcoinco/data-ops; https://github.com/gitcoinco/dappcon; https://github.com/gitcoinco/ethindia; https://github.com/gitcoinco/codefund_wordpress_plugin; https://github.com/gitcoinco/gitcoin-rss; https://github.com/gitcoinco/Marketing; https://github.com/gitcoinco/ERC-1337; https://github.com/gitcoinco/grants1337; https://github.com/gitcoinco/lemonade-stand; https://github.com/gitcoinco/Gitcoin-Exemplars; https://github.com/gitcoinco/kudosbadges; https://github.com/gitcoinco/SVG_MultiColor_Exporter; https://github.com/gitcoinco/code_fund_ads; https://github.com/gitcoinco/Kudos721Contract; https://github.com/gitcoinco/labs; https://github.com/gitcoinco/cf_eyeo_example; https://github.com/gitcoinco/codefund-ghost-theme; https://github.com/gitcoinco/EIPs; https://github.com/gitcoinco/Splitter; https://github.com/gitcoinco/gitcoin-wp-theme; https://github.com/gitcoinco/beyondblockchainteams; https://github.com/gitcoinco/ethereal-blocks-teams; https://github.com/gitcoinco/road-to-devcon-teams; https://github.com/gitcoinco/avatar-builder
25,186691.3,https://github.com/sigp/lighthouse,https://github.com/sigp/lighthouse,Infra Tech,https://gitcoin.co/grants/25/lighthouse-ethereum-20-client,2019/02/01 00:00:00,https://github.com/sigp/lighthouse
13,175487.78,https://github.com/ethers-io/ethers.js,https://ethers.org/,Infra Tech,https://gitcoin.co/grants/13/ethersjs-complete-simple-and-tiny,2019/02/01 00:00:00,https://github.com/ethers-io/ethers.js
821,170182.45,https://github.com/ScopeLift/umbra-protocol,https://github.com/ScopeLift/umbra-protocol,Infra Tech,https://gitcoin.co/grants/821/umbra-privacy-preserving-stealth-payments,2020/06/16 00:00:00,https://github.com/ScopeLift/umbra-protocol
191,164383.45,https://github.com/BrightID,https://www.brightid.org/,dApp Tech,https://gitcoin.co/grants/191/brightid-universal-proof-of-uniqueness-panvala-le,2020/01/06 00:00:00,https://github.com/BrightID/BrightID; https://github.com/BrightID/BrightID-Docs; https://github.com/BrightID/BrightID-Node; https://github.com/BrightID/nest; https://github.com/BrightID/tweetnacl-js; https://github.com/BrightID/BrightID-WebRTC; https://github.com/BrightID/react-native-camera; https://github.com/BrightID/BrightID-SmartContract; https://github.com/BrightID/BrightID-AntiSybil; https://github.com/BrightID/BrightID-Constitution; https://github.com/BrightID/BrightID-BIO-SmartContracts; https://github.com/BrightID/BrightID-BIO-Dashboard; https://github.com/BrightID/Sponsorship-Subscriptions-SmartContracts; https://github.com/BrightID/BrightID-Sponsorship-Subscriptions-Dashboard; https://github.com/BrightID/FS-Backup-Service; https://github.com/BrightID/BrightID-Node-Backup-Script; https://github.com/BrightID/react-native-aes; https://github.com/BrightID/BrightID-Apps-Page; https://github.com/BrightID/TheLAOProposal; https://github.com/BrightID/BrightID-Explorer; https://github.com/BrightID/hyperdrive-backup; https://github.com/BrightID/ipfs-backup
143,164031.52,https://github.com/dappnode,,Infra Tech,https://gitcoin.co/grants/143/dappnode-panvala-league,2019/09/15 00:00:00,https://github.com/dappnode/DNP_ETHCHAIN; https://github.com/dappnode/DNP_IPFS; https://github.com/dappnode/DAppNode; https://github.com/dappnode/DNP_ETHFORWARD; https://github.com/dappnode/DNP_BIND; https://github.com/dappnode/DNP_VPN; https://github.com/dappnode/DNP_DAPPMANAGER; https://github.com/dappnode/DAppNode_Installer; https://github.com/dappnode/DNP_WAMP; https://github.com/dappnode/DAppNodePackageDirectory; https://github.com/dappnode/DNP_ADMIN; https://github.com/dappnode/otp.github.io; https://github.com/dappnode/DAppNodePackage-kovan; https://github.com/dappnode/DAppNode_website; https://github.com/dappnode/Decentralized_portal; https://github.com/dappnode/MultiSigWallet; https://github.com/dappnode/DAppNodePackage-rinkeby; https://github.com/dappnode/DNP_CORE; https://github.com/dappnode/DAppNodePackage-monero; https://github.com/dappnode/DAppNodeSDK; https://github.com/dappnode/DAppNodePackage-bitcoin; https://github.com/dappnode/DAppNodePackage-LightningNetwork; https://github.com/dappnode/dyndns-server; https://github.com/dappnode/dappnode-dweb-template; https://github.com/dappnode/DNP_WIFI; https://github.com/dappnode/dappnode-portal-template; https://github.com/dappnode/DAppNodePackage-goerli-geth; https://github.com/dappnode/DAppNodePackage-goerli-pantheon; https://github.com/dappnode/DAppNodePackage-ropsten; https://github.com/dappnode/DAppNodePackage-grin; https://github.com/dappnode/aragon; https://github.com/dappnode/DAppNodeDocs; https://github.com/dappnode/DAppNodePackage-goerli-parity; https://github.com/dappnode/DAppNodePackage-matrix; https://github.com/dappnode/oasis-direct; https://github.com/dappnode/DAppNodePackage-vipnode; https://github.com/dappnode/dappnode-pioneers; https://github.com/dappnode/DAppNodePackage-raiden; https://github.com/dappnode/DAppnodePackage-raiden-testnet; https://github.com/dappnode/DAppNodePackage-ipfs-pinner; https://github.com/dappnode/DAppNodePackage-swarm; https://github.com/dappnode/welcome; https://github.com/dappnode/dnp-manifest; https://github.com/dappnode/usbmount; https://github.com/dappnode/DAppNodePackage-geth; https://github.com/dappnode/DAppNodePackage-trustlines; https://github.com/dappnode/DAppNodePackage-zcash; https://github.com/dappnode/DAppNodePackage-ipfs-cluster; https://github.com/dappnode/DAppNodePackage-trustlines-validator; https://github.com/dappnode/DAppNodePackage-trustlines-bridge; https://github.com/dappnode/DAppNodePackage-trustlines-monitor; https://github.com/dappnode/DAppNodePackage-trustlines-netstats; https://github.com/dappnode/token-service; https://github.com/dappnode/DAppNodePackage-nethermind; https://github.com/dappnode/DAppNodePackage-storj; https://github.com/dappnode/DAppNodePackage-Tornado-Cash-Relayer; https://github.com/dappnode/DAppNodePackage-ethereum-classic; https://github.com/dappnode/DDDNS; https://github.com/dappnode/DappnodePackage-block-explorer
172,162448.84,https://github.com/zeropoolnetwork,https://github.com/zeropoolnetwork,dApp Tech,https://gitcoin.co/grants/172/zeropool-scaling-anonymous-transactions-for-block,2020/03/23 00:00:00,https://github.com/zeropoolnetwork/circomlib; https://github.com/zeropoolnetwork/eth-boston; https://github.com/zeropoolnetwork/zeropool-core; https://github.com/zeropoolnetwork/zcoinselect; https://github.com/zeropoolnetwork/updatablemerkletree; https://github.com/zeropoolnetwork/website; https://github.com/zeropoolnetwork/zp-chrome-extension; https://github.com/zeropoolnetwork/zp-electron; https://github.com/zeropoolnetwork/MiMCTree; https://github.com/zeropoolnetwork/poseidon-solidity-benchmark; https://github.com/zeropoolnetwork/zp-ui; https://github.com/zeropoolnetwork/zp-pwa; https://github.com/zeropoolnetwork/challenger-bot; https://github.com/zeropoolnetwork/joinsplit_experiment; https://github.com/zeropoolnetwork/fawkes-crypto; https://github.com/zeropoolnetwork/libzeropool; https://github.com/zeropoolnetwork/nearcore; https://github.com/zeropoolnetwork/near-sdk-rs; https://github.com/zeropoolnetwork/near-groth16-verifier; https://github.com/zeropoolnetwork/bn; https://github.com/zeropoolnetwork/NEAR-pool; https://github.com/zeropoolnetwork/zeropool-indexeddb; https://github.com/zeropoolnetwork/phase2-bn254; https://github.com/zeropoolnetwork/ff-uint; https://github.com/zeropoolnetwork/groth16-wasm-benchmark
3133,152102.95,https://github.com/lifinance,,Infra Tech,https://gitcoin.co/grants/3133/lifinance-cross-chain-bridge-aggregator-smart-rou,2021/06/16 00:00:00,https://github.com/lifinance/lifi-web; https://github.com/lifinance/roadmap; https://github.com/lifinance/lifi-analytics-backend; https://github.com/lifinance/nxtp; https://github.com/lifinance/lifi-analytics-dashboard; https://github.com/lifinance/types; https://github.com/lifinance/sdk; https://github.com/lifinance/sdk-node-sample; https://github.com/lifinance/lifi-contract-types
