pk,-6,-5,-4,-3,-2,-1,0,1,2,3,4,5,6
2323,1,4,0,2,86,1,0,0,21,95,138,46,40
149,34,90,48,44,17,52,130,143,129,158,234,128,115
490,0,0,0,0,0,0,1,81,0,1,9,0,0
1592,170,138,96,282,446,305,155,180,184,166,169,133,371
4352,0,0,0,0,0,0,68,31,149,135,132,193,275
24,285,287,364,255,524,373,435,625,419,608,391,316,442
86,448,249,240,108,227,266,333,229,180,239,106,212,194
25,1,5,159,112,102,174,172,127,116,54,37,77,114
13,217,135,180,211,217,74,215,225,147,178,175,131,102
821,0,0,0,0,0,103,9,17,7,10,16,0,24
191,9,3,6,2,5,32,12,26,79,69,70,34,103
143,24,20,101,90,78,14,16,17,30,9,16,64,11
172,0,0,0,0,1,0,0,0,0,0,0,2,2
3133,0,0,0,0,0,0,2,2,0,14,21,35,37
1143,0,4,4,2,1,5,38,18,2,8,6,5,7
137,1146,1115,786,668,897,664,703,598,844,654,501,857,813
1093,0,0,0,0,0,48,409,331,205,175,191,116,165
3857,54,31,44,40,46,0,18,12,36,14,3,4,27
142,42,6,52,17,93,116,146,61,72,169,164,184,114
258,0,0,0,0,0,0,0,0,0,0,0,0,0
337,0,0,0,0,0,0,0,0,0,0,0,0,0
275,87,31,35,9,33,28,14,21,17,19,54,61,94
1403,32,23,6,1,10,6,9,13,19,14,14,17,19
331,21,8,28,17,4,3,1,7,0,0,6,22,31
468,0,0,0,0,0,0,0,0,0,0,0,0,0
1809,0,0,0,0,0,0,0,11,14,34,20,48,53
539,2,6,7,2,14,1,40,14,7,3,16,71,109
329,0,0,0,0,0,0,0,0,0,0,0,0,0
1415,0,0,26,82,29,42,184,84,79,118,267,73,79
540,644,195,118,55,241,58,99,178,153,258,201,278,221
4019,0,0,0,0,0,0,1,0,0,0,0,0,0
384,0,0,0,0,0,0,0,0,0,0,0,0,0
946,12,23,34,52,59,35,19,18,37,66,31,19,35
1561,0,0,0,0,0,0,0,0,0,0,0,0,0
373,0,0,0,0,0,2,19,18,8,62,19,11,5
599,0,0,0,0,0,0,1,1,0,0,0,0,0
972,0,0,0,0,12,15,10,29,18,46,29,30,9
3335,0,0,0,0,0,0,0,3,0,0,0,0,0
3278,0,0,0,0,0,0,0,1,0,0,0,0,0
3814,0,0,0,0,0,0,0,0,0,0,0,0,0
1080,0,0,0,0,0,0,0,1,0,4,1,0,2
3059,0,0,0,2,0,3,0,0,0,0,0,0,0
1110,0,0,1,4,1,7,1,0,0,0,0,0,1
3224,0,0,0,0,65,22,18,28,20,23,12,31,32
184,30,149,65,21,19,1,0,19,16,0,2,41,11
294,0,0,0,0,0,0,0,0,0,0,0,0,7
