pk,-6,-5,-4,-3,-2,-1,0,1,2,3,4,5,6
2323,10,18,0,26,126,19,0,0,50,82,72,62,11
149,62,158,107,100,130,98,106,247,228,169,192,163,118
490,0,0,0,0,0,0,12,126,11,66,222,9,4
1592,113,65,201,329,578,463,213,111,108,117,239,94,168
4352,0,0,0,0,16,233,195,125,507,654,553,292,557
24,80,50,75,40,76,80,134,150,129,162,48,16,105
86,71,66,44,24,27,21,3,4,3,13,0,4,2
25,56,47,244,92,115,142,298,377,471,258,255,136,145
13,82,24,60,13,27,4,31,2,0,14,42,22,44
821,0,0,0,0,0,119,0,6,5,8,11,10,16
191,25,18,30,109,139,165,63,157,160,238,262,155,154
143,69,170,226,225,210,99,192,156,309,206,110,108,115
172,104,170,111,55,136,309,295,173,93,53,41,21,47
3133,0,0,0,0,0,53,534,1048,873,693,430,268,115
1143,0,0,0,1,0,6,3,44,13,7,26,7,10
137,2054,2371,1517,1393,1192,1325,1288,826,1369,945,938,1139,871
1093,0,0,0,0,90,59,254,324,279,184,198,198,214
3857,26,33,43,58,39,9,34,11,23,28,16,4,34
142,124,277,305,315,243,397,58,45,79,250,136,252,105
258,0,0,0,0,0,0,0,0,0,0,0,0,0
337,0,0,0,0,0,0,0,0,0,0,1,16,5
275,114,102,80,19,56,87,68,186,71,70,148,130,119
1403,1,25,123,89,47,66,74,80,99,124,76,71,111
331,88,51,191,85,268,96,44,157,17,54,26,38,259
468,0,0,0,0,0,0,0,20,66,32,6,9,35
1809,0,0,0,0,0,1,17,123,72,330,444,621,608
539,0,0,0,0,0,0,0,0,0,0,9,38,20
329,0,0,0,18,0,1,0,0,0,0,0,0,0
1415,0,0,26,11,16,7,15,16,13,36,17,13,8
540,172,80,85,34,277,53,39,93,71,270,69,171,302
4019,1100,1014,661,785,603,418,252,154,165,351,129,60,27
384,0,0,0,0,0,0,0,0,0,0,0,0,0
946,18,6,8,4,9,7,14,6,13,7,12,16,17
1561,0,0,0,0,0,0,0,0,1,0,3,4,0
373,0,0,0,0,0,360,309,353,168,95,34,29,6
