pk,-6,-5,-4,-3,-2,-1,0,1,2,3,4,5,6
2323,0,1,0,0,1,0,0,0,0,3,4,3,0
149,1,1,1,0,1,1,1,3,4,6,2,3,4
490,0,0,0,0,0,0,0,3,0,0,0,0,0
1592,9,11,3,8,6,12,19,12,14,10,9,10,24
4352,0,0,0,0,0,0,0,3,2,2,1,0,17
24,1,0,0,0,0,0,0,0,0,0,0,1,0
86,120,38,33,15,14,17,27,34,9,31,6,4,13
25,0,0,0,0,0,0,0,0,0,0,0,0,1
13,0,0,2,0,0,2,1,1,2,0,0,0,2
821,0,0,0,0,0,0,1,0,0,0,0,0,0
191,0,0,0,0,1,6,1,0,8,9,6,6,7
143,0,0,1,2,3,0,3,4,3,6,1,3,5
172,1,0,0,0,1,0,12,2,3,2,2,10,4
3133,0,0,0,0,0,0,0,0,0,0,0,1,0
1143,2,0,0,0,1,1,1,0,0,0,0,0,0
137,48,29,34,39,36,39,19,64,35,27,31,56,46
1093,0,0,0,0,0,0,1,0,0,0,0,0,0
3857,0,1,2,12,1,0,0,1,1,0,0,0,4
142,1,0,2,0,2,1,1,0,2,4,2,6,4
258,0,0,0,0,0,0,0,0,0,0,0,0,0
337,0,0,0,0,0,0,0,0,0,0,0,0,0
275,9,0,15,0,0,4,2,0,2,1,6,3,8
1403,7,1,0,0,1,1,0,1,0,0,0,0,0
331,5,0,1,0,2,0,0,1,0,0,3,0,2
468,0,0,0,0,0,0,0,0,0,0,0,0,0
1809,0,0,0,0,0,0,0,0,0,0,0,0,3
539,0,2,7,3,1,1,2,6,2,1,12,11,13
329,0,0,0,0,0,0,0,0,0,0,0,0,0
1415,0,0,0,0,0,1,6,5,7,4,17,11,13
540,30,17,29,33,7,25,6,11,5,3,4,8,2
4019,0,0,0,0,0,0,0,0,0,0,0,0,0
384,0,0,0,0,0,0,0,0,0,0,0,0,0
946,0,0,0,0,0,0,0,0,0,0,0,0,0
1561,0,0,0,0,0,0,0,0,0,0,0,0,0
373,0,0,0,0,0,0,0,2,4,1,2,5,5
599,0,0,0,0,0,0,0,0,0,0,0,0,0
972,0,0,0,0,0,0,0,0,2,0,1,1,0
3335,0,0,0,0,0,0,0,3,0,0,0,0,0
3278,0,0,0,0,0,0,0,1,0,0,0,0,0
3814,0,0,0,0,0,0,0,0,0,0,0,0,0
1080,0,0,0,0,0,0,0,0,3,0,0,1,0
3059,1,0,0,3,1,2,1,0,0,1,0,0,0
1110,0,1,1,0,0,0,6,1,0,2,1,0,1
3224,0,0,0,0,0,0,0,3,0,0,0,0,0
184,0,0,0,0,0,0,0,0,0,0,0,0,1
294,0,0,0,0,0,0,0,0,0,0,0,0,1
888,0,7,0,0,4,9,7,2,5,3,9,2,8
37,0,0,0,0,0,0,0,0,0,0,0,0,0
2916,0,0,0,0,0,21,20,0,6,10,10,12,6
3386,0,0,0,0,0,0,0,0,0,0,1,0,0
1669,2,2,4,0,0,1,0,1,3,3,5,5,3
4165,0,0,0,0,0,0,1,0,0,0,0,0,0
224,0,0,0,0,0,0,0,0,0,0,0,0,0
1773,0,0,0,0,0,0,0,0,0,0,0,0,1
2281,0,0,0,0,0,0,0,0,0,0,0,0,0
795,0,0,0,0,0,0,0,0,0,0,0,0,0
2112,0,0,0,0,0,0,0,22,0,1,0,10,1
1657,1,3,6,6,1,11,4,6,3,0,5,8,6
3012,0,0,0,1,0,0,0,0,0,0,0,0,1
2575,0,0,0,0,0,0,0,0,0,0,0,0,0
139,0,0,0,0,0,0,0,0,0,0,0,0,0
82,0,0,0,0,0,0,0,0,0,0,1,0,0
1530,0,0,0,0,0,0,0,0,0,0,0,0,1
2235,0,0,0,0,0,0,0,0,0,2,0,0,0
2851,0,0,0,1,0,0,9,1,1,9,2,1,2
3510,0,0,0,0,0,0,0,38,0,13,0,0,7
2918,0,0,0,0,0,0,1,0,0,0,3,2,0
2262,0,1,0,0,0,0,0,2,7,1,4,2,1
1211,0,1,0,1,0,0,2,0,0,0,0,0,0
3004,0,0,0,0,0,0,0,0,22,40,13,25,22
3930,0,1,0,2,0,0,0,0,0,0,0,0,2
2979,0,0,0,0,0,0,0,0,0,0,0,0,0
358,0,0,1,1,0,1,1,1,0,1,0,0,1
198,0,0,0,0,0,0,1,1,0,0,3,3,0
308,0,0,0,0,0,0,0,0,0,0,0,5,3
1996,0,0,0,0,0,1,1,0,2,2,0,1,0
246,0,0,0,0,0,1,0,1,0,3,2,3,4
519,0,0,0,0,0,0,3,0,2,9,5,3,1
1090,0,0,0,0,0,0,0,0,0,0,1,0,0
936,0,0,0,0,0,0,0,1,0,0,1,0,1
1155,0,0,0,0,0,0,0,3,9,4,10,2,3
596,0,0,0,0,0,0,0,0,1,0,0,0,0
2265,0,0,0,0,0,0,0,0,4,2,0,5,1
3364,1,3,7,7,16,7,5,16,8,6,5,3,10
2229,0,0,0,0,1,0,0,3,7,0,0,3,2
213,0,0,0,0,0,0,0,2,2,0,0,0,6
159,0,1,0,0,0,0,0,0,0,1,0,0,3
3595,0,0,2,0,3,2,1,0,1,0,0,0,0
3525,0,0,0,0,0,0,0,0,0,0,0,0,0
233,2,0,0,0,1,0,0,2,4,2,1,2,0
1112,0,0,0,0,0,0,0,0,0,0,0,0,0
36,0,0,2,0,0,0,0,0,8,2,0,0,0
2239,0,0,0,0,0,0,0,0,0,0,0,0,1
274,0,0,0,0,0,0,0,0,0,0,0,0,1
3414,0,0,0,0,0,1,7,0,1,1,1,1,1
231,5,2,0,1,1,0,0,0,1,3,0,4,1
22,73,67,82,70,50,62,70,38,92,70,52,64,44
2758,0,0,0,0,4,2,1,1,0,0,0,1,0
296,0,0,0,0,0,0,0,0,0,0,0,0,0
959,0,0,0,0,0,0,0,0,0,0,0,0,0
145,0,0,2,6,0,0,0,0,0,2,0,1,1
2841,0,0,0,0,0,0,0,0,0,0,0,0,0
1534,0,0,0,0,0,1,0,0,0,0,1,0,1
65,2,1,2,1,0,2,0,2,0,0,0,0,0
259,1,0,0,0,0,0,0,1,0,0,3,1,0
1625,0,0,0,0,0,0,0,0,0,0,0,0,0
2271,0,0,0,0,0,0,0,0,0,0,0,0,0
2631,0,0,0,0,0,2,1,0,3,2,1,2,6
1805,0,0,0,0,0,0,0,0,0,0,0,0,0
1175,0,0,0,0,0,0,0,0,0,0,0,0,0
2788,0,0,0,0,0,0,0,0,0,0,0,0,0
899,0,0,0,0,0,0,0,0,0,0,0,0,0
1599,0,0,0,0,0,0,0,0,0,0,0,0,0
1005,0,0,0,2,2,5,1,2,1,0,0,0,0
2743,0,0,0,0,0,0,0,0,0,0,0,0,0
4144,0,1,0,0,0,0,2,6,7,0,0,0,0
1141,0,0,0,0,0,1,0,1,0,0,0,0,0
4287,0,0,0,1,1,0,0,0,0,0,0,0,0
1855,0,0,4,2,1,2,3,1,0,2,4,3,12
2196,0,1,0,0,0,0,1,0,1,1,0,1,1
2871,0,0,0,0,0,0,20,0,0,0,0,0,0
1375,0,0,0,0,0,0,0,1,1,0,1,1,0
4232,0,0,0,0,0,0,0,0,0,0,0,0,0
1571,2,1,2,2,1,3,0,0,0,11,8,2,0
943,0,0,0,0,0,1,1,2,1,3,5,7,0
1134,0,0,0,0,0,0,0,0,0,0,1,0,0
290,0,0,0,0,0,0,0,0,0,0,0,0,0
3522,0,0,0,0,0,0,0,1,1,0,0,0,0
3600,0,0,0,0,0,0,0,0,0,0,0,0,0
653,2,0,0,0,0,0,0,0,0,0,0,0,0
3457,0,5,7,5,0,1,2,0,0,1,0,2,2
1240,0,0,0,0,0,0,0,0,0,0,0,0,0
634,11,26,25,20,17,20,29,9,11,6,16,27,18
562,0,0,0,0,0,0,0,0,0,0,0,0,0
2074,0,0,0,0,0,0,0,0,1,1,1,0,0
547,0,0,0,0,0,0,0,0,0,0,0,0,0
3501,0,0,0,0,0,0,0,0,0,0,0,0,0
4276,10,5,11,4,6,3,1,1,14,3,14,2,11
256,0,0,0,0,0,0,0,0,0,0,0,0,0
3443,0,0,0,0,0,0,0,0,1,0,0,0,0
516,0,0,0,0,0,0,7,11,0,0,0,0,0
1999,0,0,0,0,0,0,0,0,0,0,0,0,0
2119,0,2,0,0,0,7,0,0,2,0,7,0,1
1988,0,0,0,0,0,0,0,0,0,0,0,0,0
1511,22,13,17,45,29,80,63,45,56,56,74,147,83
4213,0,0,0,0,0,0,0,0,0,0,0,0,0
2427,0,0,0,0,0,0,0,0,0,0,0,0,0
1102,0,0,0,0,0,0,0,0,0,0,0,0,0
403,0,0,0,0,0,0,0,0,0,0,0,0,0
822,2,0,0,3,2,1,1,0,0,1,0,4,5
2316,0,0,0,0,0,0,0,0,0,0,0,0,0
212,0,0,0,0,8,0,0,0,0,0,0,1,0
1870,0,0,1,3,3,0,3,5,23,8,1,5,8
3496,0,0,0,0,0,0,0,0,0,0,0,2,0
556,0,0,1,0,0,0,0,0,0,0,1,0,0
413,0,0,0,0,0,0,0,0,0,0,0,0,0
389,1,0,0,0,0,0,0,0,0,0,0,1,0
2180,0,0,0,0,0,0,0,0,0,0,0,0,0
1099,0,0,0,0,0,0,0,0,0,0,0,0,0
3150,0,0,0,0,0,0,0,0,0,0,0,0,0
2455,0,0,0,0,6,3,1,0,0,0,1,2,0
