pk,-6,-5,-4,-3,-2,-1,0,1,2,3,4,5,6
2323,22,52,13,4,72,7,13,5,10,41,36,40,25
149,7,19,16,2,2,3,20,16,10,39,21,17,9
490,0,0,0,0,0,0,0,0,0,0,0,0,0
1592,15,18,8,36,41,62,46,57,73,73,106,125,165
4352,0,0,0,0,0,0,55,29,34,15,26,22,104
24,63,60,70,60,40,60,29,33,41,46,23,24,24
86,82,81,77,45,80,78,60,53,45,49,39,18,33
25,8,20,94,20,7,22,22,10,12,18,17,24,16
13,56,44,61,72,43,37,48,46,35,32,43,29,31
821,0,0,0,0,0,5,18,10,3,2,0,4,2
191,3,3,7,1,5,5,1,4,6,5,3,6,3
143,4,5,7,14,7,3,6,11,6,10,13,7,7
172,4,0,3,1,3,2,7,0,1,0,2,0,5
3133,0,0,0,0,0,0,1,4,14,5,13,10,17
1143,2,0,3,2,2,3,5,5,9,2,5,6,4
137,135,194,189,163,140,144,119,122,103,98,83,180,121
1093,0,0,0,0,1,14,73,41,31,16,21,26,42
3857,7,6,4,38,12,15,31,27,14,12,9,10,8
142,7,3,15,7,8,5,6,13,5,3,6,20,4
258,0,0,0,0,0,0,0,0,0,0,0,0,0
337,0,0,0,0,0,0,0,0,0,0,0,0,0
275,24,10,23,12,11,12,16,5,7,19,12,14,24
1403,0,0,0,0,2,0,2,1,0,1,1,0,0
331,8,6,6,3,3,1,0,6,1,5,5,2,4
468,0,0,0,0,0,0,0,0,0,0,0,0,1
1809,0,0,0,0,0,0,2,50,18,68,103,155,73
539,1,4,7,7,3,0,6,6,2,1,1,1,6
329,0,0,0,1,1,2,0,0,0,0,0,0,0
1415,0,0,0,0,2,41,62,51,66,58,228,294,49
540,13,13,15,11,21,9,9,24,23,24,12,14,18
4019,0,0,0,0,0,0,0,1,1,1,1,3,1
384,0,0,0,0,0,0,0,0,0,0,0,0,0
946,1,5,7,4,8,5,5,3,3,7,7,3,4
1561,0,0,0,0,0,0,0,0,0,0,0,1,0
373,0,0,0,0,0,0,16,17,8,6,11,4,12
599,0,0,0,0,0,0,14,2,2,1,0,1,0
972,0,0,0,0,1,8,3,11,8,4,15,9,14
3335,0,0,0,0,0,0,0,0,0,1,0,0,0
3278,1,0,0,0,0,0,2,0,17,0,0,0,0
3814,0,0,0,0,0,0,0,0,0,0,0,0,0
1080,0,2,0,3,0,3,1,0,1,2,2,0,2
3059,0,0,0,1,1,1,1,0,0,1,0,1,3
1110,0,0,2,4,0,0,0,5,1,1,2,1,4
3224,0,0,0,0,122,48,24,21,19,38,15,27,26
184,4,5,2,2,4,4,3,5,4,3,3,5,0
294,0,0,0,1,1,2,1,1,0,0,0,3,105
888,2,5,10,7,23,13,11,7,10,22,26,34,48
37,0,0,0,0,0,0,0,0,0,0,0,0,0
2916,0,0,0,0,1,25,14,7,8,9,23,13,15
3386,0,0,0,0,0,0,0,0,0,3,2,1,0
1669,11,4,5,9,8,5,3,4,14,9,9,9,8
4165,0,0,0,0,0,11,17,3,1,1,2,8,3
224,0,2,0,0,6,2,4,9,6,3,3,7,6
1773,0,0,0,0,0,0,0,0,0,0,0,0,0
2281,0,0,0,0,0,0,0,0,0,0,0,0,0
795,0,0,0,0,0,0,0,0,0,0,0,0,0
2112,0,0,0,0,0,0,3,10,5,0,0,4,5
1657,21,34,104,91,70,56,69,106,133,100,159,196,174
3012,0,0,0,0,0,0,0,0,0,0,0,0,2
2575,0,0,0,0,0,0,0,0,0,0,0,0,0
139,0,5,5,0,3,2,2,4,3,1,4,2,3
82,0,0,0,0,0,0,3,0,0,0,0,1,1
1530,0,0,0,0,0,10,0,2,2,15,18,6,10
2235,0,0,0,0,0,0,0,0,0,0,2,2,2
2851,76,126,119,384,278,370,249,272,417,539,495,594,506
3510,0,0,0,0,0,0,4,0,5,1,2,0,1
2918,0,0,0,0,0,0,3,3,1,8,2,6,5
2262,2,1,0,2,3,5,4,7,8,4,6,3,8
1211,0,1,1,0,0,0,1,2,1,1,0,0,0
3004,0,0,0,0,0,0,0,0,5,14,28,16,24
3930,2,0,0,0,0,0,0,0,1,0,1,0,1
2979,0,0,0,0,0,0,0,0,0,0,0,0,1
358,9,6,1,2,4,6,7,4,7,1,6,5,2
198,4,54,16,15,7,17,22,15,9,14,15,20,10
308,0,0,30,16,42,23,8,9,16,7,9,12,15
1996,0,0,0,0,2,47,26,23,16,6,10,15,15
246,0,0,0,0,0,0,5,12,4,10,5,12,9
519,0,0,0,0,1,17,12,5,6,3,11,16,6
1090,0,0,0,0,0,0,0,0,0,0,1,2,1
936,0,0,0,0,0,2,4,4,2,1,0,3,3
1155,0,0,0,0,0,0,0,0,5,3,6,5,7
596,10,18,19,8,9,10,5,22,18,9,15,18,13
2265,0,0,0,0,0,0,0,0,0,0,0,0,0
3364,36,35,39,55,40,44,59,50,58,62,57,62,69
2229,0,0,3,2,2,1,3,5,5,7,11,7,40
213,0,0,0,0,0,1,1,6,13,9,7,1,9
159,8,51,30,86,18,22,15,9,28,31,18,6,49
3595,0,0,48,4,6,149,13,14,29,29,15,15,20
3525,0,0,0,0,0,0,6,7,1,1,0,1,0
233,14,14,15,14,16,19,11,21,14,15,23,18,11
1112,0,0,0,0,0,0,0,0,0,0,0,0,0
36,4,1,43,2,8,38,42,28,30,36,18,12,11
2239,0,0,0,0,0,0,1,3,7,1,1,3,2
274,0,0,0,0,0,0,0,0,1,2,3,0,0
3414,0,0,0,0,27,29,174,133,140,158,399,191,265
231,1,0,3,2,0,0,0,0,0,0,0,0,0
22,1008,1102,1066,1166,917,1123,772,696,1072,741,873,655,591
2758,0,0,0,0,2,16,5,0,0,0,0,1,1
296,0,0,0,0,0,0,0,0,0,0,0,0,0
959,0,0,0,0,0,0,1,2,0,0,1,0,0
145,0,0,7,9,4,4,0,5,1,2,3,3,4
2841,0,0,0,0,0,0,0,1,1,0,11,3,2
1534,6,4,2,6,3,3,15,10,7,6,5,16,14
65,22,33,33,36,24,36,27,56,50,31,26,28,17
259,17,16,18,16,10,7,4,16,13,11,20,20,8
1625,0,0,0,0,0,0,0,0,0,2,8,4,0
2271,2,3,3,2,5,2,8,7,6,4,3,2,2
2631,18,20,19,13,22,78,34,38,25,19,25,26,27
1805,0,0,0,0,0,0,0,1,2,1,0,0,0
1175,0,0,0,0,0,0,0,0,0,0,0,0,0
2788,0,0,0,0,0,0,1,0,0,0,1,0,0
899,0,0,0,0,0,0,0,0,0,0,0,0,0
1599,0,0,0,0,0,0,0,0,0,0,0,0,0
1005,0,0,0,6,45,74,33,11,13,8,13,18,14
2743,1,0,1,1,10,0,8,7,10,7,5,4,11
4144,0,1,2,0,0,1,5,2,10,2,0,0,1
1141,0,0,0,0,1,6,2,4,4,1,0,1,1
4287,0,0,0,11,9,2,4,0,1,0,3,2,1
1855,0,0,10,21,2,1,5,5,4,3,2,3,4
2196,0,0,1,1,0,2,0,0,0,0,1,0,0
2871,0,0,0,0,0,5,32,5,7,1,10,2,8
1375,0,0,0,0,0,1,1,5,19,3,8,7,5
4232,0,0,0,0,0,0,1,0,0,0,0,0,0
1571,2,2,0,1,0,1,1,0,0,1,4,1,1
943,0,0,65,37,12,27,15,46,56,53,35,38,40
1134,0,0,0,0,1,0,0,0,0,1,0,0,0
290,0,0,0,0,0,0,0,1,0,0,0,0,0
3522,0,0,0,0,2,1,0,8,10,5,7,7,4
3600,0,0,0,0,0,0,0,0,0,5,1,0,0
653,8,13,11,15,8,27,20,8,3,1,6,10,5
3457,0,2,5,6,2,2,2,1,0,1,1,9,2
1240,0,0,1,0,0,0,0,0,0,0,0,0,0
634,0,3,2,4,10,14,16,7,11,5,8,4,2
562,0,0,0,0,0,0,0,1,0,1,0,0,0
2074,0,0,0,0,0,0,0,0,1,0,0,0,0
547,0,0,0,0,0,0,1,1,1,0,0,0,0
3501,0,0,0,0,0,0,0,0,0,0,0,0,0
4276,49,17,13,24,36,27,78,70,35,36,42,15,104
256,2,3,0,0,2,2,3,0,1,1,0,0,0
