pk,total_earned,num_round,team_member,len_description,admin_profile_followers,admin_profile_following,admin_position,admin_grants_contributed,stars,commits,issues,comments,tweet_count,count_likes,count_comments,count_retweet
149,323383.15,9,4,5398,19052,18948,19,30,34,173,5,156,431,1770,185,410
4352,241184.2,1,,,,,,,18,107,0,58,51,4044,371,350
3857,112437.23,1,3,775,8582,8600,87,0,13,10,0,7,0,0,0,0
172,162448.84,8,1,1341,20183,20182,40,4,5,162,0,1,13,112,15,28
1143,138751.38,6,,,,,,,7,13,1,32,98,1693,119,305
1592,273472.88,5,2,456,10649,10672,91,6,76,177,14,213,9,763,114,129
337,92707.08,7,2,2459,10752,10730,312,67,0,3,0,0,3,6,1,3
2323,337821.69,4,3,3645,24478,24487,97,43,48,58,1,59,67,1778,201,567
4019,71747.35,1,1,23793,11613,11651,16,2,0,135,0,0,6,30,3,12
821,170182.45,7,2,6889,20755,20710,18,142,13,24,1,37,55,800,64,200
3133,152102.95,3,,,,,,,12,1019,0,39,111,16960,2040,2525
490,303809.72,8,1,3337,25062,25020,54,86,0,42,0,1,152,8644,975,1805
1080,47336.32,4,1,2699,1761,1773,222,296,2,340,0,2,66,1470,181,320
3335,50805.02,2,1,5434,,,325,,1,0,0,0,8,1728,88,272
1403,89715.29,4,3,5656,13433,13432,86,113,3,159,0,16,53,510,52,118
4165,37821.9,1,,,,,,,9,0,0,0,3,263,14,49
191,164383.45,9,3,3476,15453,15423,61,86,5,218,5,68,151,4020,424,1164
3930,19759.06,1,2,7839,385,382,0,21,0,2,0,0,52,173,31,11
1809,83186.29,5,1,1209,8364,8369,9,55,36,239,0,11,98,1825,203,283
2916,39464.91,3,,,,,,,16,504,9,204,171,6965,887,1468
3386,39291.54,2,3,2528,5045,5054,198,0,1,25,0,22,73,1854,163,552
3012,29331.49,3,2,2052,4938,4956,768,2,1,66,1,15,2,1,2,0
13,175487.78,12,1,1616,13211,13239,34,149,46,19,1,170,239,4180,331,1937
3814,47713.56,1,,,,,,,0,1,0,0,2,13,2,2
25,186691.3,12,1,364,12136,12158,16,6,15,430,0,176,99,2732,170,515
24,227561.42,12,3,1008,14042,13972,38,14,52,186,0,566,8,667,15,169
972,54438.76,7,1,3255,6428,6451,147,54,18,66,0,43,181,1739,359,242
2575,28704.04,3,1,733,6959,6979,32,49,0,0,0,0,23,399,44,130
2235,26457.71,4,2,1518,5229,5238,24,79,0,26,2,8,17,353,33,117
3059,46388.3,3,5,3397,2822,2837,148,24,1,0,0,0,22,1318,62,273
329,78334.82,12,1,556,9555,9603,45,58,0,0,0,0,212,3017,276,708
2229,13586.98,4,4,1295,4432,4446,67,5,43,425,0,35,59,855544,34404,106375
3595,11942.64,2,4,440,9555,9603,45,58,21,0,1,24,32,936,24,200
2851,26323.6,3,1,475,9970,9946,120,39,679,93,15,198,220,10359,750,1229
137,130083.6,10,5,3196,9291,9275,43,2,147,1428,36,966,127,3738,256,719
258,95199.84,9,6,1498,9833,9804,4,28,0,0,0,0,25,332,20,62
2743,7268.53,3,3,5921,7669,7680,241,46,10,57,0,0,46,140,42,27
4144,7096.67,1,1,1936,,,98,,1,14,2,0,13,68,0,43
143,164031.52,10,,,,,,,8,269,2,7,221,2928,260,729
1110,43952.58,6,3,5158,9549,9571,74,52,3,50,2,0,219,12181,5450,7579
3522,5294.5,2,1,6637,6081,6092,194,0,3,3,0,21,10,109,4,35
599,55431.29,9,3,3305,9021,9029,59,7,6,0,0,1,20,411,26,85
3414,10878.89,2,7,2435,2271,2277,65,5,224,0,6,59,48,54,30,10
1561,66925.29,5,7,295,8339,8342,29,43,0,0,0,0,15,371,11,84
899,7406.39,6,,,,,,,0,0,0,0,18,576,25,120
1805,7986.16,4,1,2698,4203,4215,115,66,0,493,0,0,101,1481,196,372
2239,11158.76,4,1,965,1398,1412,0,27,2,0,0,0,218,7008,490,918
4287,6393.35,1,4,2410,2778,2814,248,83,4,0,0,0,54,407,80,97
2841,9351.58,3,6,3661,7833,7823,319,0,0,48,0,14,24,3926,1120,3088
331,87006.38,7,6,3236,8375,8326,61,28,5,172,1,14,83,1158,131,257
