pk,url,username,followers_count,followings_count
13,https://twitter.com/ricmoo,RicMoo (ricmoo.eth),4156,241
22,https://twitter.com/cdetrio,Casey Detrio,1074,557
24,https://twitter.com/prylabs,Prysmatic Labs,17006,9
25,https://twitter.com/paulhauner,Paul Hauner,3948,312
36,https://twitter.com/MolochDAO,� MolochDAO,11256,18
37,https://twitter.com/ConnextNetwork,Connext | � is coming,45498,278
65,https://twitter.com/urllib3,urllib3,165,0
82,https://twitter.com/EthCatHerders,Ethereum Cat Herders,6162,202
86,https://twitter.com/gitcoin,Gitcoin � �,112675,851
137,https://twitter.com/ethnimbus,Nimbus,4470,1161
139,https://twitter.com/defiprime,defiprime,54692,1152
142,https://twitter.com/nethermindeth,Nethermind,10263,694
143,https://twitter.com/DAppNode,DAppNode �️�⛓️,10222,963
145,https://twitter.com/dmihal,"David Mihal.eth (ℹ️, ℹ️)",10437,1397
149,https://twitter.com/rotkiapp,Rotkiapp - protects your privacy�️,8725,18
159,https://twitter.com/realmasknetwork,Mask Network (Bridge to Web3 @Mask.io),101058,580
172,https://twitter.com/ZeroPoolNetwork,ZeroPool Network,1821,61
184,https://twitter.com/trueblocks,"TrueBlocks, LLC �",2707,829
191,https://twitter.com/BrightIDProject,BrightID�,14227,381
198,https://twitter.com/TornadoCash,�️ Tornado.cash �️,48201,269
212,https://twitter.com/thxprotocol,THX Network - Embed tokens in any app �,1808,518
213,https://twitter.com/metafam,MetaGame �,5021,269
231,https://twitter.com/EthereumTGU,Ethereum TGU,263,76
233,https://twitter.com/EthereumETL,Ethereum ETL,1410,20
246,https://twitter.com/1inchExchange,Previous handle use @1inchNetwork,1740,1
258,https://twitter.com/beaconcha_in,Beaconchain.eth ��,2250,6
259,https://twitter.com/RoscoKalis,Rosco Kalis,3953,934
274,https://twitter.com/abridged_io,Abridged,2687,246
275,https://twitter.com/WalletConnect,WalletConnect �,28098,190
294,https://twitter.com/fifikobayashi,Fiona Kobayashi �,9740,603
296,https://twitter.com/defisaver,DeFi Saver,28653,40
308,https://twitter.com/cadcad_org,cadCAD,1642,120
329,https://twitter.com/zeroknowledgefm,Zero Knowledge Podcast,15436,45
331,https://twitter.com/CirclesUBI,Circles,12635,538
337,https://twitter.com/zkcre_am,zkcre.am,309,3
358,https://twitter.com/skywinder,Petr Korolev ��,590,518
373,https://twitter.com/nymproject,Nym,50062,138
384,https://twitter.com/EthereumOnARM,Ethereum on ARM ������,5872,782
389,https://twitter.com/alphaonchain,AlphaOnChain,563,32
403,https://twitter.com/SwapBoxCash,SwapBox,10,1
413,https://twitter.com/schumanncombo,Richard Schumann,2796,146
468,https://twitter.com/ethplanet,ETHPlanet.org,1527,902
490,https://twitter.com/poapxyz,POAP - Bookmarks of your life,61712,889
516,https://twitter.com/interspacechat,support.interspacechat.eth,169,70
519,https://twitter.com/rDAI_dao,rDAI ��,2629,87
539,https://twitter.com/commonsstack,Commons Stack �,6701,787
540,https://twitter.com/ethswarm,Ethereum Swarm,23963,87
547,https://twitter.com/0zAND1z,Ganesh Prasad Kumble . moi ��,492,3399
556,https://twitter.com/ethberlin,ETHBerlin³,9004,797
562,https://twitter.com/omnianalytics,"Omni Analytics Group (�,�)",5728,0
596,https://twitter.com/krzkaczor,Kris Kaczor �,5149,818
599,https://twitter.com/proofofhumanity,Proof of Humanity,26480,31
634,https://twitter.com/likecoin,LikeCoin - Decentralize Publishing,30113,485
653,https://twitter.com/yoavw,yoav.eth,1274,62
795,https://twitter.com/givethio,Giveth,10150,1501
821,https://twitter.com/UmbraCash,Umbra,4799,0
822,https://twitter.com/lukso_io,LUKSO,44008,2
888,https://twitter.com/BrownieEth,Brownie,5685,114
899,https://twitter.com/gardensdao,gardens,1243,19
936,https://twitter.com/epnsproject,EPNS | $PUSH,108940,196
943,https://twitter.com/paulrberg,Paul Razvan Berg,10002,952
972,https://twitter.com/wighawag,"ronan.eth, permission-less & persistent games",3202,3415
1005,https://twitter.com/Weeb_Mcgee,weeb ��,8943,462
1080,https://twitter.com/treejertalks,Treejer (���),2530,126
1090,https://twitter.com/zkmint,ZkMint,23,0
1093,https://twitter.com/SnapshotLabs,Snapshot (Hiring!),24225,14
1099,https://twitter.com/parcelHQ,Parcel,3760,93
1102,https://twitter.com/AstralProtocol,✨ Astral,804,51
1110,https://twitter.com/MinervaWallet,Minerva Wallet | Gitcoin #14 |� Join our Team ✨,4348,365
