pk,username,round_index,tweet_count,count_likes,count_comments,count_retweet
13,ricmoo,1,13,52,7,9
13,ricmoo,2,6,14,6,1
13,ricmoo,3,14,104,15,6
13,ricmoo,4,10,40,13,8
13,ricmoo,5,13,109,11,19
13,ricmoo,6,33,67,29,9
13,ricmoo,7,9,66,8,10
13,ricmoo,8,33,238,38,37
13,ricmoo,9,14,126,11,3
13,ricmoo,10,37,404,36,55
13,ricmoo,11,29,2328,75,1664
13,ricmoo,12,28,632,82,116
22,cdetrio,3,0,0,0,0
22,cdetrio,5,0,0,0,0
22,cdetrio,6,1,2,2,0
22,cdetrio,9,0,0,0,0
22,cdetrio,10,0,0,0,0
22,cdetrio,11,0,0,0,0
22,cdetrio,12,0,0,0,0
24,prylabs,1,0,0,0,0
24,prylabs,2,1,261,7,74
24,prylabs,3,0,0,0,0
24,prylabs,4,0,0,0,0
24,prylabs,5,1,82,1,19
24,prylabs,6,0,0,0,0
24,prylabs,7,1,73,1,22
24,prylabs,8,3,180,1,39
24,prylabs,9,0,0,0,0
24,prylabs,10,1,30,1,6
24,prylabs,11,0,0,0,0
24,prylabs,12,1,41,4,9
25,paulhauner,1,21,341,46,84
25,paulhauner,2,5,226,24,47
25,paulhauner,3,10,726,26,145
25,paulhauner,4,30,454,28,70
25,paulhauner,5,0,0,0,0
25,paulhauner,6,1,25,3,2
25,paulhauner,7,4,41,1,7
25,paulhauner,8,10,465,15,69
25,paulhauner,9,5,111,4,27
25,paulhauner,10,3,54,1,4
25,paulhauner,11,8,283,19,59
25,paulhauner,12,2,6,3,1
36,MolochDAO,1,1,39,2,8
36,MolochDAO,2,46,702,58,99
36,MolochDAO,3,7,134,3,25
36,MolochDAO,6,3,114,3,17
36,MolochDAO,7,0,0,0,0
36,MolochDAO,10,0,0,0,0
36,MolochDAO,11,3,59,3,15
36,MolochDAO,12,1,16,5,3
37,ConnextNetwork,1,21,94,9,19
37,ConnextNetwork,2,5,33,0,5
37,ConnextNetwork,3,13,186,4,56
37,ConnextNetwork,4,0,0,0,0
37,ConnextNetwork,6,4,3,2,0
37,ConnextNetwork,7,1,0,0,0
37,ConnextNetwork,8,9,149,7,25
37,ConnextNetwork,9,43,1398,62,312
37,ConnextNetwork,10,27,471,31,72
37,ConnextNetwork,11,27,2932,171,901
37,ConnextNetwork,12,24,1419,107,278
65,urllib3,2,0,0,0,0
65,urllib3,3,0,0,0,0
65,urllib3,4,0,0,0,0
65,urllib3,5,0,0,0,0
65,urllib3,6,0,0,0,0
65,urllib3,7,0,0,0,0
65,urllib3,8,0,0,0,0
65,urllib3,9,0,0,0,0
65,urllib3,10,0,0,0,0
65,urllib3,11,0,0,0,0
65,urllib3,12,0,0,0,0
82,EthCatHerders,2,4,57,10,22
86,gitcoin,2,54,575,21,166
86,gitcoin,3,52,879,41,201
86,gitcoin,4,55,950,54,302
86,gitcoin,5,52,433,67,246
86,gitcoin,6,51,561,35,150
86,gitcoin,7,46,927,153,207
86,gitcoin,8,41,65040,2389,8778
137,ethnimbus,3,5,23,2,13
137,ethnimbus,4,1,30,0,9
137,ethnimbus,5,4,135,4,29
137,ethnimbus,6,5,284,9,84
137,ethnimbus,7,19,261,34,82
137,ethnimbus,8,24,1779,114,229
137,ethnimbus,9,23,345,30,91
137,ethnimbus,10,18,316,8,87
137,ethnimbus,11,7,344,25,49
137,ethnimbus,12,21,221,30,46
139,defiprime,3,51,753,73,140
139,defiprime,4,59,840,58,177
139,defiprime,5,58,411,82,71
139,defiprime,6,62,1605,127,262
139,defiprime,7,58,1713,222,473
139,defiprime,8,57,3011,290,399
139,defiprime,9,51,10857,902,2298
139,defiprime,10,49,3938,554,631
139,defiprime,11,44,1666,258,439
139,defiprime,12,46,4985,6855,1088
142,nethermindeth,3,44,116,27,17
142,nethermindeth,4,50,224,31,29
142,nethermindeth,5,21,146,8,37
142,nethermindeth,6,42,881,93,176
142,nethermindeth,7,55,593,46,152
142,nethermindeth,8,51,1421,68,333
142,nethermindeth,9,54,919,58,205
142,nethermindeth,10,46,1262,134,237
142,nethermindeth,11,17,1125,39,253
143,DAppNode,3,20,493,25,155
143,DAppNode,4,40,389,12,85
143,DAppNode,5,20,119,13,47
143,DAppNode,6,56,466,23,158
143,DAppNode,7,20,209,44,60
143,DAppNode,8,32,509,75,90
143,DAppNode,9,3,6,1,0
143,DAppNode,10,7,95,8,16
143,DAppNode,11,5,88,5,22
143,DAppNode,12,18,554,54,96
145,dmihal,4,47,195,24,52
145,dmihal,5,51,468,27,29
145,dmihal,6,54,591,70,92
145,dmihal,7,52,438,65,44
145,dmihal,11,50,815,133,105
145,dmihal,12,51,582,98,85
149,rotkiapp,4,50,153,18,30
149,rotkiapp,5,49,131,25,29
149,rotkiapp,6,51,330,29,103
149,rotkiapp,7,49,165,21,31
149,rotkiapp,8,50,149,21,24
149,rotkiapp,9,46,221,18,75
149,rotkiapp,10,50,170,18,19
149,rotkiapp,11,49,213,24,35
149,rotkiapp,12,37,238,11,64
159,realmasknetwork,5,10,45,10,12
159,realmasknetwork,6,19,51,5,22
159,realmasknetwork,7,48,625,157,488
159,realmasknetwork,8,48,18391,815,2207
172,ZeroPoolNetwork,5,5,59,1,14
172,ZeroPoolNetwork,6,1,5,0,2
172,ZeroPoolNetwork,7,2,4,0,1
172,ZeroPoolNetwork,8,1,3,0,1
172,ZeroPoolNetwork,9,1,9,2,4
172,ZeroPoolNetwork,10,0,0,0,0
172,ZeroPoolNetwork,11,0,0,0,0
172,ZeroPoolNetwork,12,3,32,12,6
184,trueblocks,4,38,285,39,39
184,trueblocks,5,29,109,9,21
184,trueblocks,6,47,120,29,10
184,trueblocks,7,34,150,32,21
184,trueblocks,8,30,250,27,37
184,trueblocks,9,23,28213,348,13857
184,trueblocks,10,50,353,43,27
184,trueblocks,11,12,1673,5815,232
184,trueblocks,12,21,279,37,45
191,BrightIDProject,4,7,125,21,35
191,BrightIDProject,5,18,232,20,65
191,BrightIDProject,6,19,239,6,73
191,BrightIDProject,7,36,1529,129,364
191,BrightIDProject,8,13,137,7,47
191,BrightIDProject,9,17,461,18,175
191,BrightIDProject,10,8,57,2,37
191,BrightIDProject,11,18,982,199,319
191,BrightIDProject,12,15,258,22,49
198,TornadoCash,4,13,90,12,24
198,TornadoCash,5,2,27,2,14
198,TornadoCash,6,3,70,5,18
