pk,grant_url,
13,https://gitcoin.co/grants/13/ethersjs-complete-simple-and-tiny,https://twitter.com/ricmoo
22,https://gitcoin.co/grants/22/fuzz-geth-and-parity-for-evm-consensus-bugs,https://twitter.com/cdetrio
24,https://gitcoin.co/grants/24/prysm-by-prysmatic-labs,https://twitter.com/prylabs
25,https://gitcoin.co/grants/25/lighthouse-ethereum-20-client,https://twitter.com/paulhauner
36,https://gitcoin.co/grants/36/molochdao,https://twitter.com/MolochDAO
37,https://gitcoin.co/grants/37/connext-network,https://twitter.com/ConnextNetwork
65,https://gitcoin.co/grants/65/urllib3-python-http-library,https://twitter.com/urllib3
82,https://gitcoin.co/grants/82/official-progpow-technical-audit-funding,https://twitter.com/EthCatHerders
86,https://gitcoin.co/grants/86/gitcoin-grants-core-team-dev-fund,https://twitter.com/gitcoin
137,https://gitcoin.co/grants/137/nimbus,https://twitter.com/ethnimbus
139,https://gitcoin.co/grants/139/defiprimecom,https://twitter.com/defiprime
142,https://gitcoin.co/grants/142/nethermind,https://twitter.com/nethermindeth
143,https://gitcoin.co/grants/143/dappnode-panvala-league,https://twitter.com/DAppNode
145,https://gitcoin.co/grants/145/burner-wallet-2-burner-factory,https://twitter.com/dmihal
149,https://gitcoin.co/grants/149/rotki-the-portfolio-tracker-and-accounting-tool-t,https://twitter.com/rotkiapp
159,https://gitcoin.co/grants/159/mask-network-the-portal-to-the-new-open-internet,https://twitter.com/realmasknetwork
172,https://gitcoin.co/grants/172/zeropool-scaling-anonymous-transactions-for-block,https://twitter.com/ZeroPoolNetwork
184,https://gitcoin.co/grants/184/trueblocks,https://twitter.com/trueblocks
191,https://gitcoin.co/grants/191/brightid-universal-proof-of-uniqueness-panvala-le,https://twitter.com/BrightIDProject
198,https://gitcoin.co/grants/198/tornadocash,https://twitter.com/TornadoCash
212,https://gitcoin.co/grants/212/thx-tokenized-rewards-in-any-app,https://twitter.com/thxprotocol
213,https://gitcoin.co/grants/213/metagame,https://twitter.com/metafam
224,https://gitcoin.co/grants/224/turbo-geth,
231,https://gitcoin.co/grants/231/buidl-honduras,https://twitter.com/EthereumTGU
233,https://gitcoin.co/grants/233/ethereumetl,https://twitter.com/EthereumETL
246,https://gitcoin.co/grants/246/1inchexchange-on-chain-defi-aggregation-protocol,https://twitter.com/1inchExchange
256,https://gitcoin.co/grants/256/enzyptio,
258,https://gitcoin.co/grants/258/beaconchain-open-source-eth2-blockchain-explorer,https://twitter.com/beaconcha_in
259,https://gitcoin.co/grants/259/rosco-kalis-revokecash-truffle-plugin-verify-truf,https://twitter.com/RoscoKalis
274,https://gitcoin.co/grants/274/abridged,https://twitter.com/abridged_io
275,https://gitcoin.co/grants/275/walletconnect,https://twitter.com/WalletConnect
290,https://gitcoin.co/grants/290/meson,
294,https://gitcoin.co/grants/294/fiona-kobayashi-software-engineer,https://twitter.com/fifikobayashi
296,https://gitcoin.co/grants/296/defi-saver,https://twitter.com/defisaver
308,https://gitcoin.co/grants/308/cadcad-computer-aided-design-for-complex-systems,https://twitter.com/cadcad_org
329,https://gitcoin.co/grants/329/zero-knowledge-podcast,https://twitter.com/zeroknowledgefm
331,https://gitcoin.co/grants/331/circles-ubi,https://twitter.com/CirclesUBI
337,https://gitcoin.co/grants/337/zkcream-zero-knowledge-confidential-reliable-ethe,https://twitter.com/zkcre_am
358,https://gitcoin.co/grants/358/web3swift-elegant-web3-functionality-in-swift,https://twitter.com/skywinder
373,https://gitcoin.co/grants/373/nym,https://twitter.com/nymproject
384,https://gitcoin.co/grants/384/ethereum-on-arm,https://twitter.com/EthereumOnARM
389,https://gitcoin.co/grants/389/alphaonchain,https://twitter.com/alphaonchain
403,https://gitcoin.co/grants/403/swap-box,https://twitter.com/SwapBoxCash
413,https://gitcoin.co/grants/413/open-source-web3-icon-set,https://twitter.com/schumanncombo
468,https://gitcoin.co/grants/468/ethplanet-member-of-together,https://twitter.com/ethplanet
490,https://gitcoin.co/grants/490/poap-proof-of-attendance-protocol,https://twitter.com/poapxyz
516,https://gitcoin.co/grants/516/interspacechat,https://twitter.com/interspacechat
519,https://gitcoin.co/grants/519/rdai,https://twitter.com/rDAI_dao
539,https://gitcoin.co/grants/539/the-commons-stack-iteration-0,https://twitter.com/commonsstack
540,https://gitcoin.co/grants/540/ethereum-swarm,https://twitter.com/ethswarm
547,https://gitcoin.co/grants/547/tracy-an-intelligent-application-using-decentrali,https://twitter.com/0zAND1z
556,https://gitcoin.co/grants/556/the-department-of-decentralization-nee-ethberlin,https://twitter.com/ethberlin
562,https://gitcoin.co/grants/562/learning-data-science-on-the-ethereum-blockchain-,https://twitter.com/omnianalytics
596,https://gitcoin.co/grants/596/typechain,https://twitter.com/krzkaczor
599,https://gitcoin.co/grants/599/proof-of-humanity,https://twitter.com/proofofhumanity
634,https://gitcoin.co/grants/634/likecoin-republic-of-liker-land,https://twitter.com/likecoin
653,https://gitcoin.co/grants/653/gas-stations-network,https://twitter.com/yoavw
795,https://gitcoin.co/grants/795/givethio-panvala-league,https://twitter.com/givethio
821,https://gitcoin.co/grants/821/umbra-privacy-preserving-stealth-payments,https://twitter.com/UmbraCash
822,https://gitcoin.co/grants/822/lukso-the-blockchain-for-new-digital-lifestyle,https://twitter.com/lukso_io
888,https://gitcoin.co/grants/888/brownie,https://twitter.com/BrownieEth
899,https://gitcoin.co/grants/899/1hive-gardens,https://twitter.com/gardensdao
936,https://gitcoin.co/grants/936/ethereum-push-notification-service-epns,https://twitter.com/epnsproject
943,https://gitcoin.co/grants/943/create-eth-app,https://twitter.com/paulrberg
946,https://gitcoin.co/grants/946/eip-1559-community-fund,
959,https://gitcoin.co/grants/959/0confirmation,https://twitter.com/0confirmation
972,https://gitcoin.co/grants/972/hardhat-deploy-and-jolly-roger,https://twitter.com/wighawag
1005,https://gitcoin.co/grants/1005/yieldfarminginfo,https://twitter.com/Weeb_Mcgee
1080,https://gitcoin.co/grants/1080/treejer-a-climate-action-protocol,https://twitter.com/treejertalks
1090,https://gitcoin.co/grants/1090/tokenized-tweets,https://twitter.com/zkmint
1093,https://gitcoin.co/grants/1093/snapshot,https://twitter.com/SnapshotLabs
1099,https://gitcoin.co/grants/1099/parcel-simplifying-crypto-payroll-treasury-manage,https://twitter.com/parcelHQ
1102,https://gitcoin.co/grants/1102/astral,https://twitter.com/AstralProtocol
1110,https://gitcoin.co/grants/1110/minerva-wallet-lab10-collective-panvala-league,https://twitter.com/MinervaWallet
1112,https://gitcoin.co/grants/1112/goodghosting-a-defi-savings-game,https://twitter.com/goodghosting
1134,https://gitcoin.co/grants/1134/organicblock-redefining-urban-farming,https://twitter.com/organicblock
1141,https://gitcoin.co/grants/1141/conviction-voting-cadcad-model-improvements-1hive,https://twitter.com/jeffemmett
1143,https://gitcoin.co/grants/1143/frame-privacy-focused-native-ethereum-wallet,https://twitter.com/0xFrame
1155,https://gitcoin.co/grants/1155/token-engineering-commons,https://twitter.com/tecmns
1175,https://gitcoin.co/grants/1175/eth-gaswatch,https://twitter.com/eth_gaswatch
1211,https://gitcoin.co/grants/1211/rd-in-rent-free-public-financial-utilities,https://twitter.com/aliatiia_
1240,https://gitcoin.co/grants/1240/trickle-your-hourly-pay-cryptographically-secured,https://twitter.com/Trickledapp
1375,https://gitcoin.co/grants/1375/usm-a-minimalist-stablecoin-nearing-launch,https://twitter.com/usmfum
1403,https://gitcoin.co/grants/1403/geo-web,https://twitter.com/thegeoweb
1415,https://gitcoin.co/grants/1415/openethereum-ex-parity-client,https://twitter.com/OpenEthereumOrg
1511,https://gitcoin.co/grants/1511/soappunk-universe,https://twitter.com/EibrielBot
1530,https://gitcoin.co/grants/1530/beyondnft,https://twitter.com/beyondNFT
1534,https://gitcoin.co/grants/1534/prettier-solidity,https://twitter.com/PrettierSol
1561,https://gitcoin.co/grants/1561/ethstaker,https://twitter.com/ethstaker
