pk,twitter,round_index
13,https://twitter.com/ricmoo,1;2;3;4;5;6;7;8;9;10;11;12
22,https://twitter.com/cdetrio,3;5;6;9;10;11;12
24,https://twitter.com/prylabs,1;2;3;4;5;6;7;8;9;10;11;12
25,https://twitter.com/paulhauner,1;2;3;4;5;6;7;8;9;10;11;12
36,https://twitter.com/MolochDAO,1;2;3;6;7;10;11;12
37,https://twitter.com/ConnextNetwork,1;2;3;4;6;7;8;9;10;11;12
65,https://twitter.com/urllib3,2;3;4;5;6;7;8;9;10;11;12
82,https://twitter.com/EthCatHerders,2
86,https://twitter.com/gitcoin,2;3;4;5;6;7;8
137,https://twitter.com/ethnimbus,3;4;5;6;7;8;9;10;11;12
139,https://twitter.com/defiprime,3;4;5;6;7;8;9;10;11;12
142,https://twitter.com/nethermindeth,3;4;5;6;7;8;9;10;11
143,https://twitter.com/DAppNode,3;4;5;6;7;8;9;10;11;12
145,https://twitter.com/dmihal,4;5;6;7;11;12
149,https://twitter.com/rotkiapp,4;5;6;7;8;9;10;11;12
159,https://twitter.com/realmasknetwork,5;6;7;8
172,https://twitter.com/ZeroPoolNetwork,5;6;7;8;9;10;11;12
184,https://twitter.com/trueblocks,4;5;6;7;8;9;10;11;12
191,https://twitter.com/BrightIDProject,4;5;6;7;8;9;10;11;12
198,https://twitter.com/TornadoCash,4;5;6;7;8;9;10
212,https://twitter.com/thxprotocol,4;5;6;7;8;9;10;11
213,https://twitter.com/metafam,4;5;6;7;8;9;10;11;12
224,,4;5;6;7
231,https://twitter.com/EthereumTGU,4;5;6;7;8;9;10;11;12
233,https://twitter.com/EthereumETL,4;5;6;11;12
246,https://twitter.com/1inchExchange,4;5;6
256,,4;5;6;11;12
258,https://twitter.com/beaconcha_in,4;5;6;7;8;9;10;11;12
259,https://twitter.com/RoscoKalis,4;6;8;9;10;11;12
274,https://twitter.com/abridged_io,3;4;5;6;7;8;9;10;11;12
275,https://twitter.com/WalletConnect,4;5;6;7;8;9
290,,6;11;12
294,https://twitter.com/fifikobayashi,5;6;8;9;10;12
296,https://twitter.com/defisaver,4;5;6;7
308,https://twitter.com/cadcad_org,4;5;6;7;8;9;10;11;12
329,https://twitter.com/zeroknowledgefm,1;2;3;4;5;6;7;8;9;10;11;12
331,https://twitter.com/CirclesUBI,4;5;6;8;9;10;12
337,https://twitter.com/zkcre_am,6;7;8;9;10;11;12
358,https://twitter.com/skywinder,4;5;6;7;8;9;10;11;12
373,https://twitter.com/nymproject,4;5;6;7;8;9;10;11;12
384,https://twitter.com/EthereumOnARM,5;6;7;8;9;10;11;12
389,https://twitter.com/alphaonchain,6;8;9;10;11;12
403,https://twitter.com/SwapBoxCash,6;7;8;10;11;12
413,https://twitter.com/schumanncombo,4;5;6;7;8;9;10;11;12
468,https://twitter.com/ethplanet,6;8;9;10;11;12
490,https://twitter.com/poapxyz,5;6;7;8;9;10;11;12
516,https://twitter.com/interspacechat,5;6;7;9;10;11;12
519,https://twitter.com/rDAI_dao,3;4;5;6;7;11;12
539,https://twitter.com/commonsstack,5;6;7;8;9;10;11;12
540,https://twitter.com/ethswarm,5;6;7;8;9
547,https://twitter.com/0zAND1z,5
556,https://twitter.com/ethberlin,5;6;7;8;9;12
562,https://twitter.com/omnianalytics,5;6;8;9;10;11;12
596,https://twitter.com/krzkaczor,5;6;11
599,https://twitter.com/proofofhumanity,4;5;6;7;8;9;10;11;12
634,https://twitter.com/likecoin,5;6;9;10;11;12
653,https://twitter.com/yoavw,3;4;5;6;11;12
795,https://twitter.com/givethio,6;7;8;9;10;11;12
821,https://twitter.com/UmbraCash,6;7;8;9;10;11;12
822,https://twitter.com/lukso_io,6;7;8
888,https://twitter.com/BrownieEth,6;7;8;9;10;11;12
899,https://twitter.com/gardensdao,6;7;8;9;10;12
936,https://twitter.com/epnsproject,6;7
943,https://twitter.com/paulrberg,6;7
946,,6
959,https://twitter.com/0confirmation,6;11;12
972,https://twitter.com/wighawag,6;7;8;9;10;11;12
1005,https://twitter.com/Weeb_Mcgee,7;8;9;10;11;12
1080,https://twitter.com/treejertalks,9;10;11;12
1090,https://twitter.com/zkmint,9;10;12
1093,https://twitter.com/SnapshotLabs,7;8;9;10
1099,https://twitter.com/parcelHQ,7;8;10;11;12
1102,https://twitter.com/AstralProtocol,7;10;11;12
1110,https://twitter.com/MinervaWallet,7;8;9;10;11;12
1112,https://twitter.com/goodghosting,7;8;9;10
